"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)"
"Mixed Sweet Blend","MSW","2015-05-03","MSW-851","Edmonton","822.9"
"Mixed Sweet Blend","MSW","2015-04-05","MSW-737","Edmonton","812.5"
"Mixed Sweet Blend","MSW","2015-03-02","MSW-862","Edmonton","822.4"
"Mixed Sweet Blend","MSW","2015-02-17","MSW-903","Edmonton","813.4"
"Mixed Sweet Blend","MSW","2015-01-19","MSW-707","Edmonton","820.7"
"Mixed Sweet Blend","MSW","2014-12-09","MSW-844","Edmonton","822.1"
"Mixed Sweet Blend","MSW","2014-11-13","MSW-672","Edmonton","822.4"
"Mixed Sweet Blend","MSW","2014-10-10","MSW-684","Edmonton","823.8"
"Mixed Sweet Blend","MSW","2014-09-10","MSW-742","Edmonton","819.5"
"Mixed Sweet Blend","MSW","2014-08-15","MSW-641","Edmonton","833.9"
"Mixed Sweet Blend","MSW","2014-07-29","MSW-963","Edmonton","820.5"
"Mixed Sweet Blend","MSW","2014-06-12","MSW-952","Edmonton","822.1"
"Mixed Sweet Blend","MSW","2014-05-31","MSW-853","Edmonton","820.9"
"Mixed Sweet Blend","MSW","2014-04-24","SW-672","Edmonton","822.7"
"Mixed Sweet Blend","MSW","2014-03-28","SW-794","Edmonton","825.9"
"Mixed Sweet Blend","MSW","2014-02-01","SW-900","Edmonton","822.6"
"Mixed Sweet Blend","MSW","2013-12-17","SW-866","Edmonton","825.4"
"Mixed Sweet Blend","MSW","2013-12-01","SW-892","Edmonton","824.9"
"Mixed Sweet Blend","MSW","2013-11-20","SW-646","Edmonton","824.9"
"Mixed Sweet Blend","MSW","2013-11-01","SW-666","Edmonton","823.9"
"Mixed Sweet Blend","MSW","2013-10-17","SW-945","Edmonton","827.1"
"Mixed Sweet Blend","MSW","2013-10-01","SW-752","Edmonton","824"
"Mixed Sweet Blend","MSW","2013-09-03","SW-764","Edmonton","821.2"
"Mixed Sweet Blend","MSW","2013-09-01","SW-974","Edmonton","825.9"
"Mixed Sweet Blend","MSW","2013-08-03","SW-905","Edmonton","820.4"
"Mixed Sweet Blend","MSW","2013-08-02","SW-620","Edmonton","822.4"
"Mixed Sweet Blend","MSW","2013-07-01","SW-619","Edmonton","824.4"
"Mixed Sweet Blend","MSW","2013-07-01","SW-769","Edmonton","827.2"
"Mixed Sweet Blend","MSW","2013-06-01","SW-615","Edmonton","830.5"
"Mixed Sweet Blend","MSW","2013-06-01","SW-650","Edmonton","824.9"
"Mixed Sweet Blend","MSW","2013-05-01","SW-730","Edmonton","829.5"
"Mixed Sweet Blend","MSW","2013-05-01","SW-730-1","Edmonton","830.2"
"Mixed Sweet Blend","MSW","2013-04-02","SW-802","Edmonton","812.9"
"Mixed Sweet Blend","MSW","2013-04-01","SW-824","Edmonton","827.8"
"Mixed Sweet Blend","MSW","2013-03-01","SW-977","Edmonton","830.1"
"Mixed Sweet Blend","MSW","2013-03-01","SW-985","Edmonton","826.5"
"Mixed Sweet Blend","MSW","2013-02-02","SW-776","Edmonton","833.8"
"Mixed Sweet Blend","MSW","2013-02-01","SW-926","Edmonton","829.8"
"Mixed Sweet Blend","MSW","2013-01-02","SW-815","Edmonton","827.6"
"Mixed Sweet Blend","MSW","2013-01-01","SW-613","Edmonton","827.8"
"Mixed Sweet Blend","MSW","2012-12-02","SW-851","Edmonton","828.3"
"Mixed Sweet Blend","MSW","2012-12-02","SW-900","Edmonton","828.2"
"Mixed Sweet Blend","MSW","2012-11-02","SW-893","Edmonton","825.3"
"Mixed Sweet Blend","MSW","2012-11-01","SW-744","Edmonton","829.7"
"Mixed Sweet Blend","MSW","2012-10-01","SW-817","Edmonton","832.8"
"Mixed Sweet Blend","MSW","2012-10-01","SW-818","Edmonton","826.1"
"Mixed Sweet Blend","MSW","2012-09-01","SW-713","Edmonton","828.3"
"Mixed Sweet Blend","MSW","2012-09-01","SW-917","Edmonton","832.3"
"Mixed Sweet Blend","MSW","2012-08-02","SW-852","Edmonton","834.8"
"Mixed Sweet Blend","MSW","2012-08-02","SW-890","Edmonton","831"
"Mixed Sweet Blend","MSW","2012-07-03","SW-889","Edmonton","830.2"
"Mixed Sweet Blend","MSW","2012-07-02","SW-774","Edmonton","829.5"
"Mixed Sweet Blend","MSW","2012-06-02","SW-642","Edmonton","834.9"
"Mixed Sweet Blend","MSW","2012-06-02","SW-809","Edmonton","829.4"
"Mixed Sweet Blend","MSW","2012-05-01","SW-693","Edmonton","828"
"Mixed Sweet Blend","MSW","2012-05-01","SW-865","Edmonton","831.5"
"Mixed Sweet Blend","MSW","2012-04-02","SW-789","Edmonton","830.6"
"Mixed Sweet Blend","MSW","2012-04-01","SW-842","Edmonton","826.8"
"Mixed Sweet Blend","MSW","2012-03-02","SW-847","Edmonton","822.6"
"Mixed Sweet Blend","MSW","2012-03-01","SW-886","Edmonton","829.7"
"Mixed Sweet Blend","MSW","2012-02-02","SW-818","Edmonton","828.4"
"Mixed Sweet Blend","MSW","2012-02-01","SW-785","Edmonton","828"
"Mixed Sweet Blend","MSW","2012-01-05","SW-640","Edmonton","827.2"
"Mixed Sweet Blend","MSW","2012-01-04","SW-618","Edmonton","830.9"
"Mixed Sweet Blend","MSW","2011-12-25","SW-612","Edmonton","831.2"
"Mixed Sweet Blend","MSW","2011-12-25","SW-722","Edmonton","827.2"
"Mixed Sweet Blend","MSW","2011-11-12","SW-943","Edmonton","830"
"Mixed Sweet Blend","MSW","2011-11-05","SW-677","Edmonton","830"
"Mixed Sweet Blend","MSW","2011-10-27","SW-892","Edmonton","831.6"
"Mixed Sweet Blend","MSW","2011-10-16","SW-707","Edmonton","829.2"
"Mixed Sweet Blend","MSW","2011-09-25","SW-993","Edmonton","831.4"
"Mixed Sweet Blend","MSW","2011-09-16","SW-725","Edmonton","835"
"Mixed Sweet Blend","MSW","2011-08-26","SW-632","Edmonton","825.2"
